iter	Passed	Remaining
714	7325	4087
715	7334	4076
716	7341	4065
717	7350	4054
718	7358	4042
719	7367	4031
720	7376	4020
721	7385	4009
722	7394	3998
723	7402	3987
724	7411	3976
725	7421	3966
726	7430	3955
727	7440	3944
728	7448	3933
729	7457	3922
730	7465	3911
731	7474	3900
732	7483	3889
733	7492	3878
734	7501	3868
735	7511	3857
736	7519	3846
737	7528	3835
738	7536	3824
739	7544	3813
740	7553	3802
741	7561	3791
742	7570	3780
743	7579	3769
744	7589	3758
745	7598	3748
746	7608	3738
747	7617	3727
748	7626	3716
749	7634	3705
750	7643	3694
751	7651	3683
752	7659	3672
753	7668	3661
754	7677	3650
755	7685	3639
756	7694	3628
757	7704	3618
758	7713	3607
759	7721	3596
760	7733	3587
761	7742	3576
762	7758	3569
763	7767	3558
764	7777	3548
765	7790	3539
766	7814	3535
767	7823	3524
768	7831	3513
769	7841	3503
770	7850	3492
771	7859	3481
772	7868	3471
773	7878	3460
774	7888	3450
775	7897	3439
776	7906	3429
777	7914	3418
778	7922	3407
779	7930	3396
780	7939	3385
781	7947	3374
782	7956	3363
783	7962	3351
784	7969	3340
785	7976	3328
786	7983	3317
787	7990	3305
788	7998	3294
789	8006	3283
790	8012	3271
791	8018	3260
792	8025	3248
793	8033	3237
794	8040	3226
795	8047	3215
796	8053	3203
797	8061	3192
798	8067	3180
799	8075	3169
800	8081	3158
801	8089	3147
802	8096	3135
803	8103	3124
804	8111	3113
805	8119	3102
806	8125	3091
807	8131	3079
808	8138	3068
809	8144	3056
810	8152	3045
811	8159	3034
812	8166	3023
813	8172	3012
814	8179	3000
815	8187	2990
816	8194	2979
817	8201	2967
818	8208	2956
819	8215	2945
820	8221	2934
821	8228	2922
822	8234	2911
823	8241	2900
824	8248	2889
825	8255	2878
826	8262	2867
827	8269	2856
828	8275	2844
829	8282	2834
830	8289	2822
831	8296	2812
832	8303	2800
833	8309	2789
834	8317	2779
835	8324	2768
836	8331	2757
837	8338	2746
838	8344	2735
839	8351	2724
840	8357	2712
841	8363	2701
842	8370	2690
843	8377	2679
844	8383	2668
845	8390	2658
846	8397	2647
847	8404	2636
848	8411	2625
849	8418	2614
850	8426	2604
851	8433	2593
852	8439	2582
853	8449	2572
854	8457	2561
855	8465	2551
856	8472	2540
857	8478	2529
858	8485	2519
859	8493	2508
860	8499	2497
861	8506	2486
862	8513	2476
863	8522	2465
864	8529	2455
865	8535	2444
866	8541	2433
867	8549	2422
868	8555	2412
869	8562	2401
870	8569	2390
871	8576	2380
872	8582	2369
873	8588	2358
874	8596	2347
875	8602	2337
876	8609	2326
877	8615	2315
878	8622	2305
879	8629	2294
880	8636	2284
881	8643	2273
882	8649	2262
883	8656	2252
884	8662	2241
885	8668	2230
886	8676	2220
887	8683	2209
888	8689	2199
889	8696	2188
890	8704	2178
891	8711	2168
892	8717	2157
893	8724	2147
894	8732	2136
895	8739	2126
896	8746	2115
897	8753	2105
898	8760	2095
899	8767	2084
900	8774	2074
901	8780	2063
902	8787	2053
903	8794	2042
904	8800	2032
905	8807	2021
906	8814	2011
907	8822	2001
908	8828	1990
909	8835	1980
910	8841	1970
911	8848	1959
912	8855	1949
913	8861	1939
914	8867	1928
915	8874	1918
916	8881	1908
917	8890	1898
918	8896	1887
919	8903	1877
920	8910	1867
921	8918	1857
922	8924	1846
923	8932	1836
924	8938	1826
925	8945	1816
926	8951	1805
927	8958	1795
928	8964	1785
929	8970	1774
930	8978	1764
931	8984	1754
932	8992	1744
933	9000	1734
934	9007	1724
935	9013	1714
936	9020	1704
937	9026	1693
938	9033	1683
939	9042	1673
940	9049	1663
941	9056	1653
942	9063	1643
943	9068	1633
944	9075	1623
945	9082	1612
946	9089	1602
947	9096	1592
948	9102	1582
949	9109	1572
950	9115	1562
951	9121	1552
952	9128	1542
953	9135	1532
954	9144	1522
955	9150	1512
956	9156	1502
957	9162	1492
958	9169	1481
959	9175	1471
960	9182	1461
961	9188	1451
962	9194	1441
963	9200	1431
964	9207	1421
965	9213	1411
966	9219	1401
967	9225	1391
968	9232	1381
969	9238	1371
970	9244	1361
971	9250	1351
972	9256	1341
973	9262	1331
974	9269	1321
975	9275	1311
976	9281	1301
977	9287	1291
978	9293	1281
979	9299	1271
980	9305	1261
981	9311	1251
982	9317	1241
983	9323	1231
984	9329	1221
985	9335	1211
986	9341	1202
987	9349	1192
988	9355	1182
989	9361	1172
990	9368	1162
991	9374	1152
992	9379	1142
993	9385	1133
994	9391	1123
995	9397	1113
996	9404	1103
997	9410	1093
998	9416	1083
999	9422	1074
1000	9428	1064
1001	9435	1054
1002	9441	1044
1003	9448	1035
1004	9454	1025
1005	9460	1015
1006	9466	1005
1007	9472	996
1008	9478	986
1009	9485	976
1010	9491	966
1011	9497	957
1012	9503	947
1013	9509	937
1014	9515	928
1015	9522	918
1016	9528	908
1017	9534	899
1018	9540	889
1019	9545	879
1020	9551	870
1021	9556	860
1022	9562	850
1023	9568	841
1024	9574	831
1025	9580	821
1026	9586	812
1027	9592	802
1028	9598	792
1029	9604	783
1030	9611	773
1031	9617	764
1032	9623	754
1033	9630	745
1034	9636	735
1035	9643	726
1036	9648	716
1037	9654	706
1038	9661	697
1039	9667	687
1040	9673	678
1041	9679	668
1042	9685	659
1043	9691	649
1044	9697	640
1045	9704	630
1046	9709	621
1047	9715	611
1048	9721	602
1049	9727	592
1050	9733	583
1051	9739	574
1052	9746	564
1053	9752	555
1054	9757	545
1055	9763	536
1056	9769	526
1057	9775	517
1058	9781	508
1059	9787	498
1060	9793	489
1061	9799	479
1062	9805	470
1063	9811	461
1064	9817	451
1065	9824	442
1066	9830	433
1067	9837	423
1068	9843	414
1069	9849	405
1070	9856	395
1071	9862	386
1072	9868	377
1073	9875	367
1074	9881	358
1075	9888	349
1076	9895	339
1077	9901	330
1078	9907	321
1079	9913	312
1080	9920	302
1081	9925	293
1082	9931	284
1083	9938	275
1084	9945	265
1085	9951	256
1086	9957	247
1087	9963	238
1088	9970	228
1089	9976	219
1090	9982	210
1091	9988	201
1092	9995	192
1093	10000	182
1094	10007	173
1095	10013	164
1096	10018	155
1097	10024	146
1098	10030	136
1099	10036	127
1100	10042	118
1101	10048	109
1102	10054	100
1103	10061	91
1104	10068	82
1105	10075	72
1106	10081	63
1107	10087	54
1108	10093	45
1109	10099	36
1110	10105	27
1111	10111	18
1112	10119	9
1113	10127	0
06	74
1106	10312	65
1107	10318	55
1108	10324	46
1109	10329	37
1110	10336	27
1111	10343	18
1112	10349	9
1113	10356	0
